YEAR,VOL OF LOSSES,VAUE OF LOSSES ($),VALUE OF LOSSES (N),Source 1,Source 2,Source 3
2009,69.49 Million Barrels,4.31 Billion,1.552 Trillion,https://www.verivafrica.com/insights/we-have-a-crude-oil-theft-problem,https://neiti.gov.ng/cms/neiti-backs-fg-investigative-panel-on-oil-theft-calls-for-action-on-glencore-bribery-scandal/,https://punchng.com/nigeria-lost-n4-3tn-to-oil-theft-in-five-years-fg/
2010,28.31 Million Barrels,2.29 Billion,824.64 Trillion,https://www.verivafrica.com/insights/we-have-a-crude-oil-theft-problem,https://neiti.gov.ng/cms/neiti-backs-fg-investigative-panel-on-oil-theft-calls-for-action-on-glencore-bribery-scandal/,https://punchng.com/nigeria-lost-n4-3tn-to-oil-theft-in-five-years-fg/
2011,38.61 Million Barrels,4.39 Billion,1.581 Trillion,https://www.verivafrica.com/insights/we-have-a-crude-oil-theft-problem,https://neiti.gov.ng/cms/neiti-backs-fg-investigative-panel-on-oil-theft-calls-for-action-on-glencore-bribery-scandal/,https://punchng.com/nigeria-lost-n4-3tn-to-oil-theft-in-five-years-fg/
2012,51.58 Million Barrels,5.82 Billion,2.095 Trillion,https://www.verivafrica.com/insights/we-have-a-crude-oil-theft-problem,https://neiti.gov.ng/cms/neiti-backs-fg-investigative-panel-on-oil-theft-calls-for-action-on-glencore-bribery-scandal/,https://punchng.com/nigeria-lost-n4-3tn-to-oil-theft-in-five-years-fg/
2013,78.30 Million Barrels,8.55 Billion,3.078 Trillion,https://www.verivafrica.com/insights/we-have-a-crude-oil-theft-problem,https://neiti.gov.ng/cms/neiti-backs-fg-investigative-panel-on-oil-theft-calls-for-action-on-glencore-bribery-scandal/,https://punchng.com/nigeria-lost-n4-3tn-to-oil-theft-in-five-years-fg/
2014,40.17 Million Barrels,4.14 Billion,1.492 Trillion,https://www.verivafrica.com/insights/we-have-a-crude-oil-theft-problem,https://neiti.gov.ng/cms/neiti-backs-fg-investigative-panel-on-oil-theft-calls-for-action-on-glencore-bribery-scandal/,https://punchng.com/nigeria-lost-n4-3tn-to-oil-theft-in-five-years-fg/
2015,27.12 Million Barrels,1.43 Billion,514.09 Trillion,https://www.verivafrica.com/insights/we-have-a-crude-oil-theft-problem,https://neiti.gov.ng/cms/neiti-backs-fg-investigative-panel-on-oil-theft-calls-for-action-on-glencore-bribery-scandal/,https://punchng.com/nigeria-lost-n4-3tn-to-oil-theft-in-five-years-fg/
2016,101.05 Million Barrels,4.42 Billion,1.591 Trillion,https://www.verivafrica.com/insights/we-have-a-crude-oil-theft-problem,https://neiti.gov.ng/cms/neiti-backs-fg-investigative-panel-on-oil-theft-calls-for-action-on-glencore-bribery-scandal/,https://punchng.com/nigeria-lost-n4-3tn-to-oil-theft-in-five-years-fg/
2017,36.46 Million Barrels,1.99 Billion,717.65 Trillion,https://www.verivafrica.com/insights/we-have-a-crude-oil-theft-problem,https://neiti.gov.ng/cms/neiti-backs-fg-investigative-panel-on-oil-theft-calls-for-action-on-glencore-bribery-scandal/,https://punchng.com/nigeria-lost-n4-3tn-to-oil-theft-in-five-years-fg/
2018,53.281 Million Barrels,3.387 Billion,1.172 Trillion,https://www.verivafrica.com/insights/we-have-a-crude-oil-theft-problem,https://neiti.gov.ng/cms/neiti-backs-fg-investigative-panel-on-oil-theft-calls-for-action-on-glencore-bribery-scandal/,https://punchng.com/nigeria-lost-n4-3tn-to-oil-theft-in-five-years-fg/
2019,42.248 Million Barrels,2.772 Billion,849.4 Trillion,https://www.verivafrica.com/insights/we-have-a-crude-oil-theft-problem,https://neiti.gov.ng/cms/neiti-backs-fg-investigative-panel-on-oil-theft-calls-for-action-on-glencore-bribery-scandal/,https://punchng.com/nigeria-lost-n4-3tn-to-oil-theft-in-five-years-fg/
2020,53.056 Million Barrels,2.21 Billion,787.7 Trillion,https://www.verivafrica.com/insights/we-have-a-crude-oil-theft-problem,https://neiti.gov.ng/cms/neiti-backs-fg-investigative-panel-on-oil-theft-calls-for-action-on-glencore-bribery-scandal/,https://punchng.com/nigeria-lost-n4-3tn-to-oil-theft-in-five-years-fg/
2021,10.7 Millions Barrels,7.2 billion,1.96 Trillion,https://journal-ems.com/index.php/emsj/article/view/802,https://www.verivafrica.com/insights/scoping-nigerias-revenue-losses-from-crude-oil-theft,https://businessday.ng/news/article/7-7m-barrels-of-crude-oil-stolen-from-nigeria-in-2023-report/
2022,36.69 Millions Barrels,22.4 billion,603.64 Billion,https://journal-ems.com/index.php/emsj/article/view/802,https://www.verivafrica.com/insights/scoping-nigerias-revenue-losses-from-crude-oil-theft,https://businessday.ng/news/article/7-7m-barrels-of-crude-oil-stolen-from-nigeria-in-2023-report/
2023,7.68 Millions Barrels,576 million,2.3 Trillion,https://www.thisdaylive.com/index.php/2024/07/02/oil-theft-as-clear-threat-to-nigerias-economic-survival/,https://www.verivafrica.com/insights/scoping-nigerias-revenue-losses-from-crude-oil-theft,https://businessday.ng/news/article/7-7m-barrels-of-crude-oil-stolen-from-nigeria-in-2023-report/
2024,100 Million barrels,17.1 Billion,25.7 Trillion,https://guardian.ng/news/fg-lost-10b-to-oil-theft-vandalism-in-seven-months/,https://www.thisdaylive.com/index.php/2024/07/02/oil-theft-as-clear-threat-to-nigerias-economic-survival/,https://businesspost.ng/economy/nigeria-cuts-crude-oil-theft-to-5000-barrels-per-day/