Title,Date,"Community (city,town, ward)",LGA,State,Total Deaths,Boko Haram (P),State Actor (P),Sectarian Actor (excluding BH) (P),Other Armed Actor (P),Kidnapper (P),Robber (P),Other (P),Election-related Actor (P),Cameroon State Actor (P),Boko Haram (V),State Actor (V),Sectarian Actor (V),Other Armed Actor (V),Political Actor (V),Kidnapper (V),Kidnapee (V),Robber (V),Journalist (V),Civilian (V),Election-related Actor (V),Cameroon State Actor,Bomb,Gun,Machete,Suicide Bombing,Other Weapon,TK,Drinking Establishment,Goverment Building,Church,Mosque,Bank,School,Other Location,Notes,Sources 1,Sources 2,Sources 3,Latitude,Longitude,"LGA, State, Country",Country,Attack_Type,Transmission Line,Tower Number(s),Agents,Chain of Effect
Chevron Flow Station Explosion in Delta State,11/08/2011,,Warri North,Delta,0,,,Sectarian Actor,,,,,,,,,,,,,,,,0,,,Bomb,Gun,,,,,,,,,,,Other,,http://www.tribune.com.ng/sat/index.php/news/4970-gunmen-blow-up-chevrons-oil-flow-station.html,http://www.deltans.com/gunmen-blow-up-chevrons-oil-flow-station/,,5.5167,5.75,"Warri North, Delta, Nigeria",Nigeria,Oil_Gas,,,,
Ex-Militants Blow up Agip Flow Station in Bayelsa,19/03/2012,Biseni/Idu,,Bayelsa,0,,,Sectarian Actor,,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://allafrica.com/stories/201203200723.html,,,5.1667,6.4167,", Bayelsa, Nigeria",Nigeria,Oil_Gas,,,,
Ex-Militants Bomb Five Agip Oil Wells,01/04/2012,River Niger&Tailor Creek,Yenagoa,Bayelsa,0,,,Sectarian Actor,,,,,,,,0,,,,,,,,,,,Bomb,,,,,,,,,,,,Other,Disgultled members of 3rd phase of Amnesty program,http://allafrica.com/stories/201204020762.html,http://saharareporters.com/news-page/ex-militants-bomb-agip-oil-wells-bayelsa,,4.9267,6.2676,"Yenagoa, Bayelsa, Nigeria",Nigeria,Oil_Gas,,,,
"Pipeline Vandals Kill Three NNPC Staff, Injure Others",09/09/2012,Arepo,Lagos,Lagos,3,,,,,,Robber,,,,,3,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201209100635.html,http://allafrica.com/stories/201209100666.html,,6.6333,3.45,"Lagos, Lagos, Nigeria",Nigeria,Oil_Gas,,,,
Assaults of PHCN Staff - Electricity Workers Give Wammako 48 Hours to Apologise,02/11/2012,,,Sokoto,0,,State Actor,,,,,,,,,,,,0,,,,,,,,,,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201211020444.html,,,13.0667,5.2333,", Sokoto, Nigeria",Nigeria,Power,,,,
"Three Dead, Two Missing Over Oil Money, Leadership Tussle in Ugborodo",03/11/2012,Ugborodo,,Delta,3,,,Sectarian Actor,,,,,,,,,3,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://allafrica.com/stories/201211250177.html,,,5.5333,5.2833,", Delta, Nigeria",Nigeria,Oil_Gas,,,,
Many Killed in Pipeline Blast as Vandals Fight Police,12/01/2013,Arepo Village,Obafemi-Owode,Ogun,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://allafrica.com/stories/201301140606.html,http://allafrica.com/stories/201301130047.html,,6.6333,3.45,"Obafemi-Owode, Ogun, Nigeria",Nigeria,Oil_Gas,,,,
Many Killed in Pipeline Blast as Vandals Fight Police,12/01/2013,Arepo Village,Obafemi-Owode,Ogun,50,,,,Other Armed Actor,,,,,,,,,50,,,,,,,,,Bomb,,,,,,,,,,,,Other,,http://allafrica.com/stories/201301140606.html,http://allafrica.com/stories/201301130047.html,,6.6333,3.45,"Obafemi-Owode, Ogun, Nigeria",Nigeria,Oil_Gas,,,,
Four killed as Kogi community claims attack by Anambra community over oil wells,02/04/2013,Odeke,Ibaji,Kogi,7,,,Sectarian Actor,,,,,,,,,7,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://premiumtimesng.com/regional/127995-four-killed-as-kogi-community-claims-attack-by-anambra-community-over-oil-wells.html?utm_source=rss&utm_medium=rss&utm_campaign=four-killed-as-kogi-community-claims-attack-by-anambra-community-over-oil-wells,http://allafrica.com/stories/201304031132.html,,6.8333,6.9333,"Ibaji, Kogi, Nigeria",Nigeria,Oil_Gas,,,,
11 injured in Anambra-Kogi oil well clash,08/04/2013,Aguleri-Otu,,Anambra,1,,,Sectarian Actor,,,,,,,,,1,,,,,,,,,,,,,,Other,,,,,,,,Other,,http://nationalmirroronline.net/new/11-injured-in-anambra-kogi-oil-well-clash/,http://allafrica.com/stories/201304100653.html,,6.3333,6.9167,", Anambra, Nigeria",Nigeria,Oil_Gas,,,,
MEND destroys oil well,14/04/2013,Ewellesuo,Nembe,Bayelsa,,,,Sectarian Actor,,,,,,,,,,,,,,,,,,,Bomb,,,,,,,,,,,,Other,,http://www.punchng.com/news/mend-destroys-oil-well-threatens-to-bomb-mosques/,,,4.5333,6.4,"Nembe, Bayelsa, Nigeria",Nigeria,Oil_Gas,,,,
Militant claim of explosion at Nigerian oil refinery unlikely to lead to targeted campaign,22/10/2013,Warri,,Delta,0,,,Sectarian Actor,,,,,,,,,,,,,,,,,,,Bomb,,,,,,,Government Building,,,,,,,http://www.janes.com/article/28796/militant-claim-of-explosion-at-nigerian-oil-refinery-unlikely-to-lead-to-targeted-campaign?from_rss=1,,,5.5167,5.75,", Delta, Nigeria",Nigeria,Oil_Gas,,,,
Soldiers Kill Oil Pirate,27/12/2013,Aba,,Abia,1,,State Actor,,,,,,,,,,,,,,,1,,,,,,Gun,,,,,,,,,,,Other,,http://sunnewsonline.com/new/national/oil-bunkering-soldiers-kill-one-set-tanker-ablaze-aba/,,,5.1167,7.3667,", Abia, Nigeria",Nigeria,Oil_Gas,,,,
"Pirates Attack Agip's Vessels, Kidnap Oil Workers In Bayelsa",03/12/2014,Peter's town,Nembe,Bayelsa,0,,,,Other Armed Actor,,,,,,,,,,,,2,,,,,,,Gun,,,,,,,,,,,Other,,http://saharareporters.com/news-page/pirates-attack-agips-vessels-kidnap-oil-workers-bayelsa,http://www.vanguardngr.com/2014/03/gunmen-attack-tugboats-kidnap-2-captains/,,4.5333,6.4,"Nembe, Bayelsa, Nigeria",Nigeria,Oil_Gas,,,,
"Nigeria militants blow up second bridge, abduct wife, 2 kids of ex-cop",05/10/2014,Limankara,Gwoza,Borno,0,Boko Haram,,,,,,,,,,,,,,,3,,,,,,Bomb,,,,,,,,,,,,Other,bridge links Borno and Adamawa,http://nypost.com/2014/05/11/boko-haram-kidnaps-more-children-kills-villagers-in-nigeria/,http://www.premiumtimesng.com/news/160508-boko-haram-bombs-bridge-linking-borno-adamawa.html?utm_source=rss&utm_medium=rss&utm_campaign=boko-haram-bombs-bridge-linking-borno-adamawa,http://saharareporters.com/news-page/boko-haram-blows-another-bridge,11.08539963,13.69190025,"Gwoza, Borno, Nigeria",Nigeria,Oil_Gas,,,,
Pipeline explosion hits Lagos,18/06/2014,,Lagos State,Lagos,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Other,"The explosion resulted from the activities of pipeline vandals attempting to scoop Premium Motor Spirit, PMS, from a ruptured pipeline",http://nationalmirroronline.net/new/pipeline-explosion-hits-lagos/,http://www.punchng.com/news/no-life-lost-in-tarkwa-bay-pipeline-explosion-nema/,,6.60160017,3.396859884,"Lagos State, Lagos, Nigeria",Nigeria,Oil_Gas,,,,
"Four feared killed in fresh Anambra, Kogi oil war",21/07/2014,,Ibaji,Kogi,4,,,Sectarian Actor,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,"armed Kogi indigenes were stormed the disputed area, where oil 
deposits were found, and waged a  battle against Aguleri people on site",http://nationalmirroronline.net/new/four-feared-killed-in-fresh-anambra-kogi-oil-war/,http://theadvocatengr.com/new/oil-war-4-killed-7-injured-in-renewed-anambrakogi-clash/,,6.791389942,6.831250191,"Ibaji, Kogi, Nigeria",Nigeria,Oil_Gas,,,,
"JTF, Police Repel Attack On Oil Installation In Bayelsa",23/07/2014,Ogboinbiri,Southern Ijaw,Bayelsa,2,,State Actor,,Other Armed Actor,,,,,,,,,2,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.premiumtimesng.com/regional/165501-jtf-police-repel-attack-on-oil-installation-in-bayelsa.html?utm_source=rss&utm_medium=rss&utm_campaign=jtf-police-repel-attack-on-oil-installation-in-bayelsa,,,4.970369816,6.104189873,"Southern Ijaw, Bayelsa, Nigeria",Nigeria,Oil_Gas,,,,
Chairman of Oil Marketers kidnapped in Benue,10/02/2014,,Gboko,Benue,0,,,,,Kidnapper,,,,,,,,,,,1,,,,,,,Gun,,,,,,,,,,,,,http://www.vanguardngr.com/2014/10/chairman-oil-marketers-kidnapped-benue/,,,7.328450203,9.004190445,"Gboko, Benue, Nigeria",Nigeria,Oil_Gas,,,,
"Gunmen kidnap oil minister, Diezani’s sister",21/10/2014,,Port Harcourt,Rivers,0,,,,,Kidnapper,,,,,,,,,,,1,,,,,,,Gun,,,,,,,,,,,,,http://www.vanguardngr.com/2014/10/gunmen-kidnap-oil-minister-diezanis-sister/,http://www.jamaicaobserver.com/news/Gunmen-kidnap-Nigeria-oil-minister-s-sister----police,,4.801559925,7.025010109,"Port Harcourt, Rivers, Nigeria",Nigeria,Oil_Gas,,,,
Pipeline vandals arrested in Kaduna,13/11/2014,Juji,Kaduna South,Kaduna,0,,State Actor,,Other Armed Actor,,,,,,,,,0,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://nationalmirroronline.net/new/pipeline-vandals-arrested-in-kaduna/,,,10.50683975,7.398019791,"Kaduna South, Kaduna, Nigeria",Nigeria,Oil_Gas,,,,
Pipeline vandals kill two policemen in Lagos,27/01/2015,,Lagos State,Lagos,2,,State Actor,,Other Armed Actor,,,,,,,2,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://www.punchng.com/news/pipeline-vandals-kill-two-policemen-in-lagos/,http://www.tribune.com.ng/news/news-headlines/item/27886-oil-thieves-overrun-police-station-kill-2-officers,,6.60160017,3.396859884,"Lagos State, Lagos, Nigeria",Nigeria,Oil_Gas,,,,
Gunmen kidnap 4 oil company employees,02/02/2015,,Southern Ijaw,Bayelsa,0,,,,,Kidnapper,,,,,,,,,,,4,,,,,,,Gun,,,,,,,,,,,Other,,http://www.punchng.com/news/policeman-gunmen-killed-in-gun-duel/,http://dailyindependentnig.com/2015/02/gunmen-kill-policeman-kidnap-four-agip-workers-bayelsa/,,4.970369816,6.104189873,"Southern Ijaw, Bayelsa, Nigeria",Nigeria,Oil_Gas,,,,
Nigerian soldier killed in ambush in oil city of Port Harcourt,2015-0328,,Obio/Akpor,Rivers,1,,,,Other Armed Actor,,,,,,,1,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://af.reuters.com/article/nigeriaNews/idAFL6N0WU0JO20150328?feedType=RSS&feedName=nigeriaNews,http://www.premiumtimesng.com/news/179753-soldier-two-others-killed-in-rivers-as-election-turns-violent.html,http://www.punchng.com/news/scores-killed-in-rivers-gombe-as-blasts-rock-anambra-enugu/,4.801559925,7.025010109,"Obio/Akpor, Rivers, Nigeria",Nigeria,Oil_Gas,,,,
Militants Blow Up Pipelines in Delta,04/03/2015,"Ighrenene, Afiesere and Ekiugbo",Ughelli North,Delta,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://allafrica.com/stories/201504040119.html,http://af.reuters.com/article/nigeriaNews/idAFL6N0X10IG20150404?feedType=RSS&feedName=nigeriaNews,,5.5062299,5.976990223,"Ughelli North, Delta, Nigeria",Nigeria,Oil_Gas,,,,
3 cops killed in clashes with oil thieves,31/05/2015,Oguda,Okene,Kogi,4,,State Actor,,Other Armed Actor,,,,,,,3,,,,,,,,1,,,,Gun,,,,,,,,,,,Other,,http://nationalmirroronline.net/new/3-cops-killed-in-clashes-with-oil-thieves/,,,7.5542498,6.233029842,"Okene, Kogi, Nigeria",Nigeria,Oil_Gas,,,,
"Pipeline Vandals Ambush, Kill 10 DSS Operatives",15/09/2015,Arepo,Obafemi Owode,Ogun,10,,State Actor,,Other Armed Actor,,,,,,,10,,,,,,,,,,,,Gun,,,,,,,,,,,Other,On the border with Lagos,http://sunnewsonline.com/new/breaking-news-pipeline-vandals-ambush-kill-10-dss-operatives/,http://www.vanguardngr.com/2015/09/vandals-kill-9-dss-operatives-in-arepo/,http://www.punchng.com/news/pipeline-vandals-kill-seven-dss-operatives-in-lagos/,6.947889805,3.503329992,"Obafemi Owode, Ogun, Nigeria",Nigeria,Oil_Gas,,,,
Gunmen kill oil worker in Bayelsa,10/09/2015,,Ogbia,Bayelsa,1,,,,Other Armed Actor,,,,,,,,,,,,,,,1,,,,Gun,,,,,,,,,,,Other,,http://www.premiumtimesng.com/regional/south-south-regional/191267-gunmen-kill-oil-worker-in-bayelsa.html,http://allafrica.com/stories/201510091611.html,http://www.punchng.com/news/gunmen-kill-oil-worker-in-bayelsa/,4.859290123,6.373149872,"Ogbia, Bayelsa, Nigeria",Nigeria,Oil_Gas,,,,
Niger Delta Militants Attack More Oil Facilities,16/01/2016,,Warri South West,Delta,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,Gun,,,,,,,,,,,Other,Also attacked oil and gas pipelines in Egbema North LGA,http://saharareporters.com/2016/01/17/niger-delta-militants-attack-more-oil-facilities,,,5.48168993,5.734829903,"Warri South West, Delta, Nigeria",Nigeria,Oil_Gas,,,,
"Gunmen Attack Agip Pipeline In Brass LGA, Bayelsa",28/01/2016,,Brass,Bayelsa,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://saharareporters.com/2016/01/30/gunmen-attack-agip-pipeline-brass-lga-bayelsa,http://www.ngrguardiannews.com/2016/01/explosion-rocks-agip-pipelines-in-bayelsa/,,4.533239841,6.410749912,"Brass, Bayelsa, Nigeria",Nigeria,Oil_Gas,,,,
"Pipeline vandals ambush, kill five JTF operatives in Arepo
",02/05/2016,Arepo,Obafemi Owode,Ogun,5,,State Actor,,Other Armed Actor,,,,,,,5,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://nationalmirroronline.net/new/3-naval-ratings-killed-by-pipeline-vandals/,http://news2.onlinenigeria.com/news/general/456407-pipeline-vandals-ambush-kill-five-jtf-operatives-in-arepo.html,,6.947889805,3.503329992,"Obafemi Owode, Ogun, Nigeria",Nigeria,Oil_Gas,,,,
Suspected cult members blow up Agip pipeline in Rivers,02/07/2016,Akala ,Ahoada West,Rivers,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://af.reuters.com/article/nigeriaNews/idAFL8N15O2EJ?feedType=RSS&feedName=nigeriaNews,http://nationalmirroronline.net/new/suspected-cult-members-blow-up-agip-pipeline-in-rivers/,,5.062709808,6.450200081,"Ahoada West, Rivers, Nigeria",Nigeria,Oil_Gas,,,,
Three killed in oil pipeline explosion in Nigeria's delta,27/03/2016,Olugboboro,Southern Ijaw,Bayelsa,3,,,,Other Armed Actor,,,,,,,,,,,,,,,3,,,Bomb,,,,,,,,,,,,Other,,http://af.reuters.com/article/nigeriaNews/idAFL5N17259G?feedType=RSS&feedName=nigeriaNews,http://saharareporters.com/2016/03/30/agip-pipeline-bomber-arrested-bayelsa-state,,4.970369816,6.104189873,"Southern Ijaw, Bayelsa, Nigeria",Nigeria,Oil_Gas,,,,
"Militants blow up pipelines linking Warri, Kaduna refineries",05/05/2016,,Warri South West,Delta,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://sunnewsonline.com/niger-delta-militants-blow-up-pipelines-linking-warri-kaduna-refineries/,,,5.48168993,5.734829903,"Warri South West, Delta, Nigeria",Nigeria,Oil_Gas,,,,
Blast hits Chevron oil facility in Nigeria's Delta,16/05/2016,,Warri South West,Delta,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://af.reuters.com/article/nigeriaNews/idAFL5N18A6G3?feedType=RSS&feedName=nigeriaNews,,,5.48168993,5.734829903,"Warri South West, Delta, Nigeria",Nigeria,Oil_Gas,,,,
Gas pipeline in Niger Delta operated by Nigeria's NNPC attacked,20/05/2016,Ogbe Ijoh,Warri South West,Delta,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://www.premiumtimesng.com/news/top-news/203791-suspected-militants-blow-crude-trunkline-delta.html,http://af.reuters.com/article/nigeriaNews/idAFL5N18H3KF?feedType=RSS&feedName=nigeriaNews,,5.48168993,5.734829903,"Warri South West, Delta, Nigeria",Nigeria,Oil_Gas,,,,
Militants attack Agip pipeline in Nigeria's Bayelsa state,22/05/2016,,Southern Ijaw,Bayelsa,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://af.reuters.com/article/nigeriaNews/idAFL5N18J0L6?feedType=RSS&feedName=nigeriaNews,http://sunnewsonline.com/bayelsa-militants-attack-agip-pipeline/,http://www.vanguardngr.com/2016/05/breaking-gunmen-blow-agip-pipeline-bayelsa/,4.970369816,6.104189873,"Southern Ijaw, Bayelsa, Nigeria",Nigeria,Oil_Gas,,,,
"Nigeria militants blow up gas, oil pipelines",26/05/2016,,Warri South West,Delta,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://af.reuters.com/article/nigeriaNews/idAFL5N18O1NE?feedType=RSS&feedName=nigeriaNews,http://nationalmirroronline.net/new/niger-delta-avengers-blow-up-chevrons-escravos-tank-farm/,http://www.premiumtimesng.com/news/headlines/204115-militants-blow-chevron-gas-pipeline.html,5.48168993,5.734829903,"Warri South West, Delta, Nigeria",Nigeria,Oil_Gas,,,,
Militants attack major Nembe pipeline in Nigeria's Delta,28/05/2016,,Nembe,Bayelsa,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://af.reuters.com/article/nigeriaNews/idAFL8N18P03V?feedType=RSS&feedName=nigeriaNews,http://www.vanguardngr.com/2016/05/militants-blow-agip-shell-trunk-line-bayelsa/,,4.534639835,6.400000095,"Nembe, Bayelsa, Nigeria",Nigeria,Oil_Gas,,,,
"2 killed as police, oil thieves clash",29/05/2016,Ibafo,Obafemi Owode,Ogun,2,,State Actor,,Other Armed Actor,,,,,,,,,2,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://sunnewsonline.com/5-killed-as-police-oil-thieves-clash/,,,6.947889805,3.503329992,"Obafemi Owode, Ogun, Nigeria",Nigeria,Oil_Gas,,,,
"3 killed as police, oil thieves clash",29/05/2016,,Ojo,Lagos,3,,State Actor,,Other Armed Actor,,,,,,,,,3,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://sunnewsonline.com/5-killed-as-police-oil-thieves-clash/,,,6.462649822,3.167000055,"Ojo, Lagos, Nigeria",Nigeria,Oil_Gas,,,,
At least 20 civilians dead as Nigeria army clashes with oil militants,30/05/2016,,Onitsha South,Anambra,28,,State Actor,,Other Armed Actor,,,,,,,8,,,,,,,,20,,,,Gun,,,,,,,,,,,Other,,http://sunnewsonline.com/8-soldiers-feared-dead-as-militants-attack-gunboats-in-onitsha/,http://www.focus-fen.net/news/2016/05/31/407976/at-least-10-dead-as-biafra-anniversary-turns-bloody.html,http://www.panarmenian.net/eng/news/213546/,6.138420105,6.773139954,"Onitsha South, Anambra, Nigeria",Nigeria,Oil_Gas,,,,
Niger Delta militants blow up oil well,06/01/2016,,Warri North,Delta,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://sunnewsonline.com/niger-delta-militants-blow-up-oil-well/,http://nationalmirroronline.net/new/niger-delta-avengers-blow-up-chevron-oil-wells-again/,,5.999519825,5.466499805,"Warri North, Delta, Nigeria",Nigeria,Oil_Gas,,,,
Nigerian militant group says it blew up Brass-Tebidada oil pipeline,06/02/2016,,Brass,Bayelsa,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://af.reuters.com/article/nigeriaNews/idAFL4N18V2KS?feedType=RSS&feedName=nigeriaNews,,,4.533239841,6.410749912,"Brass, Bayelsa, Nigeria",Nigeria,Oil_Gas,,,,
"Delta Avengers reject Nigeria talks, blow up Chevron site",06/08/2016,,Warri South West,Delta,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://af.reuters.com/article/nigeriaNews/idAFL8N1901NN?feedType=RSS&feedName=nigeriaNews,,,5.48168993,5.734829903,"Warri South West, Delta, Nigeria",Nigeria,Oil_Gas,,,,
