Title,Date,"Community (city,town, ward)",LGA,State,Total Deaths,Boko Haram (P),State Actor (P),Sectarian Actor (excluding BH) (P),Other Armed Actor (P),Kidnapper (P),Robber (P),Other (P),Election-related Actor (P),Cameroon State Actor (P),Boko Haram (V),State Actor (V),Sectarian Actor (V),Other Armed Actor (V),Political Actor (V),Kidnapper (V),Kidnapee (V),Robber (V),Journalist (V),Civilian (V),Election-related Actor (V),Cameroon State Actor,Bomb,Gun,Machete,Suicide Bombing,Other Weapon,TK,Drinking Establishment,Goverment Building,Church,Mosque,Bank,School,Other Location,Notes,Sources 1,Sources 2,Sources 3,Latitude,Longitude,"LGA, State, Country",Country,Attack_Type,Transmission Line,Tower Number(s),Agents,Chain of Effect
Blast hits NPDC pipeline in Nigeria's Delta region,06/09/2016,,Warri South West,Delta,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://af.reuters.com/article/nigeriaNews/idAFL8N1920G8?feedType=RSS&feedName=nigeriaNews,,,5.48168993,5.734829903,"Warri South West, Delta, Nigeria",Nigeria,Oil_Gas,,,,
Nigerian official confirms attack on ENI pipeline in Niger Delta,06/10/2016,,Brass,Bayelsa,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://af.reuters.com/article/nigeriaNews/idAFL8N1923AB?feedType=RSS&feedName=nigeriaNews,,,4.533239841,6.410749912,"Brass, Bayelsa, Nigeria",Nigeria,Oil_Gas,,,,
Niger Delta militants blow up NNPC Pipeline,16/06/2016,,Oruk Anam,Akwa Ibom,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://af.reuters.com/article/nigeriaNews/idAFL4N1982OF?feedType=RSS&feedName=nigeriaNews,http://sunnewsonline.com/avengers-blow-up-nnpc-pipeline-in-akwa-ibom/,,4.816667,7.65,"Oruk Anam, Akwa Ibom, Nigeria",Nigeria,Oil_Gas,,,,
"Niger Delta: Miltants strike again, blow Shell pipeline in Imo",22/06/2016,Awara ,Ohaji/Egbema,Imo,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,Called themselves the 'Red Scorpion',http://sunnewsonline.com/niger-delta-miltants-strike-again-blow-shell-pipeline-in-imo/,http://www.premiumtimesng.com/news/top-news/205869-police-confirm-attack-shell-facility-imo.html,,5.354380131,6.771180153,"Ohaji/Egbema, Imo, Nigeria",Nigeria,Oil_Gas,,,,
Niger Delta Militants Blow Up Agip Pipeline In Bayelsa,07/08/2016,,Brass,Bayelsa,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://saharareporters.com/2016/07/08/niger-delta-militants-blow-agip-pipeline-bayelsa,http://af.reuters.com/article/nigeriaNews/idAFL8N19U1EA?feedType=RSS&feedName=nigeriaNews,,4.533239841,6.410749912,"Brass, Bayelsa, Nigeria",Nigeria,Oil_Gas,,,,
Attackers blow up gas pipeline in southwest Nigeria,13/07/2016,Ogijo/Simawa,,Ogun,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://www.premiumtimesng.com/news/top-news/206914-suspected-militants-set-gas-pipeline-ablaze-ogun.html,http://af.reuters.com/article/nigeriaNews/idAFL8N1A04GC?feedType=RSS&feedName=nigeriaNews,,6.839389801,3.646189928,", Ogun, Nigeria",Nigeria,Oil_Gas,,,,
Niger Delta Avengers Blow Up Shell Facility Again,18/07/2016,Batan,Warri South West,Delta,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://saharareporters.com/2016/07/18/niger-delta-avengers-blow-shell-facility-again,http://af.reuters.com/article/nigeriaNews/idAFL8N1A43W2?feedType=RSS&feedName=nigeriaNews,,5.48168993,5.734829903,"Warri South West, Delta, Nigeria",Nigeria,Oil_Gas,,,,
Suspected militants attack Shell affiliated pipeline in Nigeria's Delta,31/07/2016,Odimodi,Burutu,Delta,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://af.reuters.com/article/nigeriaNews/idAFL8N1AI233?feedType=RSS&feedName=nigeriaNews,http://www.vanguardngr.com/2016/07/militants-attack-spdc-trunk-line-delta/,https://www.yahoo.com/news/militants-bomb-shell-oil-pipeline-nigeria-locals-211025482.html?ref=gs,5.327660084,5.739689827,"Burutu, Delta, Nigeria",Nigeria,Oil_Gas,,,,
Militants blow up Nigeria pipeline,08/10/2016,Urhobo,Isoko South,Delta,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,,Niger Delta Greenland Justice Mandate,http://af.reuters.com/article/nigeriaNews/idAFL8N1AS2XC?feedType=RSS&feedName=nigeriaNews,http://saharareporters.com/2016/08/10/new-militant-group-blows-oil-pipeline-delta-region,http://punchng.com/breaking-new-militant-group-blow-npdc-trunk-line-delta/,5.457650185,6.20483017,"Isoko South, Delta, Nigeria",Nigeria,Oil_Gas,,,,
Militants blow up NPDC oil installation in Delta,18/08/2016,,Udu,Delta,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://www.premiumtimesng.com/regional/south-south-regional/208901-militants-blow-npdc-oil-installation-delta.html,http://saharareporters.com/2016/08/19/militants-blow-npdc-oil-installation-delta-state,,5.482019901,5.866909981,"Udu, Delta, Nigeria",Nigeria,Oil_Gas,,,,
Militants attack pipeline in Nigeria's Delta as others pursue talks,30/08/2016,Ogor-Oteri,Ughelli South,Delta,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,Niger Delta Greenland Justice Movement,http://af.reuters.com/article/nigeriaNews/idAFL8N1BB37E?feedType=RSS&feedName=nigeriaNews,http://www.vanguardngr.com/2016/08/breaking-news-militants-blow-another-facility-delta/,,5.371819973,5.799749851,"Ughelli South, Delta, Nigeria",Nigeria,Oil_Gas,,,,
Niger Delta Red Squad Blows Up Pipeline in Imo State,09/01/2016,,Ohaji/Egbema,Imo,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://www.authorityngr.com/2016/09/Niger-Delta-Red-Squad-Blows-Up-Pipeline-in-Imo-State/,,,5.354380131,6.771180153,"Ohaji/Egbema, Imo, Nigeria",Nigeria,Oil_Gas,,,,
Nigerian gunmen kidnap 15 local oil workers and driver in southern Rivers state,09/02/2016,,Ogba/Egbema/Ndoni,Rivers,0,,,,,Kidnapper,,,,,,,,,,,15,,,,,,,Gun,,,,,,,,,,,Other,,http://sunnewsonline.com/gunmen-abduct-14-oil-workers-in-rivers/,http://af.reuters.com/article/nigeriaNews/idAFL8N1BF09F?feedType=RSS&feedName=nigeriaNews,http://punchng.com/police-confirm-kidnap-15-oil-workers-rivers/,5.346700191,6.660950184,"Ogba/Egbema/Ndoni, Rivers, Nigeria",Nigeria,Oil_Gas,,,,
Militants blow up another facility in Delta,13/09/2016,,Ughelli North,Delta,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,"Niger Delta Greenland Justice Mandate, NDGJM",http://sunnewsonline.com/militants-blow-up-another-facility-in-delta/,http://www.vanguardngr.com/2016/09/militants-blow-up-another-pipelin/,http://news2.onlinenigeria.com/news/general/520948-militants-blow-up-another-pipeline-in-delta.html,5.506229877,5.976990223,"Ughelli North, Delta, Nigeria",Nigeria,Oil_Gas,,,,
Militants claim attack on NPDC oil pipeline in Niger Delta,18/09/2016,Ekuigbo,Ughelli North,Delta,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,Niger Delta Greenland Justice Mandate,http://af.reuters.com/article/nigeriaNews/idAFL8N1BV4MN?feedType=RSS&feedName=nigeriaNews,http://punchng.com/militants-blow-another-oil-facility-delta/,http://leadership.ng/business/551207/militants-attack-crude-oil-pipeline-in-delta,5.506229877,5.976990223,"Ughelli North, Delta, Nigeria",Nigeria,Oil_Gas,,,,
Nigerian militant group claims attack on oil pipeline in Niger Delta,29/09/2016,,Ughelli South,Delta,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,Niger Delta Greenland Justice Mandate,http://af.reuters.com/article/nigeriaNews/idAFL8N1C520J?feedType=RSS&feedName=nigeriaNews,http://leadership.ng/news/552547/breaking-militant-group-blows-up-npdc-delivery-pipeline-in-delta,,5.371819973,5.799749851,"Ughelli South, Delta, Nigeria",Nigeria,Oil_Gas,,,,
Nigerian military confirms attack on state-owned NNPC's oil pipeline in Delta,13/10/2016,Iwhremaro,Ughelli South,Delta,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://www.thisdaylive.com/index.php/2016/10/14/militants-claim-breaching-delivery-line-in-delta/,http://af.reuters.com/article/nigeriaNews/idAFL8N1CK4YG?feedType=RSS&feedName=nigeriaNews,http://dailypost.ng/2016/10/15/militants-bomb-crude-oil-pipeline-delta-warns-fg-expect-attacks/,5.371819973,5.799749851,"Ughelli South, Delta, Nigeria",Nigeria,Oil_Gas,,,,
Attackers set NNPC crude pipeline on fire in Niger Delta,14/10/2016,,Ughelli North,Delta,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,,,,,Other,,,,,,,,Other,,http://af.reuters.com/article/nigeriaNews/idAFL8N1CL0O7?feedType=RSS&feedName=nigeriaNews,http://sunnewsonline.com/militants-bomb-another-oil-facility-in-delta/,http://www.authorityngr.com/2016/10/Militants-resume-Attacks--Blow-up-pipeline-in-Delta-State-/,5.506229877,5.976990223,"Ughelli North, Delta, Nigeria",Nigeria,Oil_Gas,,,,
Niger Delta Avengers say attacked Nigeria's Chevron Escravos pipeline,25/10/2016,,Warri South West,Delta,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,Other,,,,,,,,Other,,http://af.reuters.com/article/nigeriaNews/idAFL4N1CV3RK?feedType=RSS&feedName=nigeriaNews,http://www.vanguardngr.com/2016/10/avengers-blow-chevron-export-pipeline-delta/,,5.48168993,5.734829903,"Warri South West, Delta, Nigeria",Nigeria,Oil_Gas,,,,
Nigerian oil workers union confirms attack on NPC pipeline in Niger Delta,29/10/2016,,Ughelli North,Delta,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://nationalmirroronline.net/new/again-militants-destroy-oil-facility-in-delta-restate-disbelief-in-clarks-dialogue-team/,http://af.reuters.com/article/nigeriaNews/idAFL8N1D12VX?feedType=RSS&feedName=nigeriaNews,http://news2.onlinenigeria.com/news/general/550088-militants-blow-up-another-pipeline-in-delta.html,5.506229877,5.976990223,"Ughelli North, Delta, Nigeria",Nigeria,Oil_Gas,,,,
Nigerian militant group MEND claims attack on Trans-Forcados pipeline,11/02/2016,Bantan,Warri South West,Delta,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://saharareporters.com/2016/11/02/militants-blow-crude-oil-export-line-npdcs-flow-station-delta-state,http://af.reuters.com/article/nigeriaNews/idAFL8N1D52EH?feedType=RSS&feedName=nigeriaNews,http://sunnewsonline.com/militants-bomb-oil-installation-in-delta/,5.48168993,5.734829903,"Warri South West, Delta, Nigeria",Nigeria,Oil_Gas,,,,
4 escape death as suspected militants attack Trans-Forcados pipeline again,11/08/2016,Eresigbene ,Warri South West,Delta,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,Gun,,,,,,,,,,,Other,,http://af.reuters.com/article/nigeriaNews/idAFL8N1D93XB?feedType=RSS&feedName=nigeriaNews,http://www.vanguardngr.com/2016/11/4-escape-death-suspected-militants-attack-trans-forcados-pipeline/,http://dailytimes.ng/militants-bomb-ppmc-pipeline/,5.48168993,5.734829903,"Warri South West, Delta, Nigeria",Nigeria,Oil_Gas,,,,
"Militants bomb Oando, Shell, Agip Oil trunk lines in Bayelsa",15/11/2016,,Nembe,Bayelsa,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,Niger Delta Avengers,http://sunnewsonline.com/militants-bomb-oando-shell-agip-oil-trunk-lines-in-bayelsa/,http://af.reuters.com/article/nigeriaNews/idAFL8N1DG402?feedType=RSS&feedName=nigeriaNews,http://www.nwitimes.com/business/militants-claim-bombing-of-oil-pipelines-in-south-nigeria/article_6e2c93e5-e280-56f3-92cd-71fd50bc383c.html,4.534639835,6.400000095,"Nembe, Bayelsa, Nigeria",Nigeria,Oil_Gas,,,,
Gunmen kill 4 NSCDC men guarding oil facilities,21/11/2016,Omoku,Ogba/Egbema/Ndoni,Rivers,4,,State Actor,,Other Armed Actor,,,,,,,4,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://sunnewsonline.com/gunmen-kill-4-nscdc-men-guarding-oil-facilities/,http://punchng.com/gunmen-kill-three-nscdc-operatives-rivers/,http://www.thisdaylive.com/index.php/2016/11/23/gunmen-in-military-uniform-kill-four-nscdc-operatives-in-rivers/,5.346700191,6.660950184,"Ogba/Egbema/Ndoni, Rivers, Nigeria",Nigeria,Oil_Gas,,,,
Gunmen kill Anambra oil magnate’s aide,26/11/2016,Umudnu,Njikoka,Anambra,1,,,,Other Armed Actor,,,,,,,,,,,,,,,1,,,,Gun,,,,,,,,,,,Other,,http://punchng.com/gunmen-kill-anambra-oil-magnates-aide/,,,6.220610142,7.008520126,"Njikoka, Anambra, Nigeria",Nigeria,Oil_Gas,,,,
Niger Delta militants claim attack on state-owned NNPC's oil pipeline,27/11/2016,Out-Jeremi,Ughelli South,Delta,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://af.reuters.com/article/nigeriaNews/idAFL8N1DT2VS?feedType=RSS&feedName=nigeriaNews,http://saharareporters.com/2016/11/27/explosion-rocks-delta-state-pipeline,http://sunnewsonline.com/confusion-as-explosion-rocks-delta-npdc-pipeline-in-flames/,5.371819973,5.799749851,"Ughelli South, Delta, Nigeria",Nigeria,Oil_Gas,,,,
NPDC crude oil pipeline set ablaze in Delta,18/01/2017,,Ughelli South,Delta,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://www.vanguardngr.com/2017/01/npdc-crude-oil-pipeline-set-ablaze-delta-2/,http://punchng.com/breaking-militants-blow-pipeline-osinbajos-visit/,,5.371819973,5.799749851,"Ughelli South, Delta, Nigeria",Nigeria,Oil_Gas,,,,
"Gunmen kill ex-oil worker, injure son",02/10/2017,,Oredo,Edo,1,,,,Other Armed Actor,,,,,,,,,,,,,,,1,,,,Gun,,,,,,,,,,,Other,,http://punchng.com/gunmen-kill-ex-oil-worker-injure-son-2/,,,6.272409916,5.583789825,"Oredo, Edo, Nigeria",Nigeria,Oil_Gas,,,,
Suspected oil rebels attack Niger Delta pipeline,20/05/2017,,Warri South West,Delta,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://www.vanguardngr.com/2017/05/suspected-oil-rebels-attack-niger-delta-pipeline/,,,5.481939793,5.735320091,"Warri South West, Delta, Nigeria",Nigeria,Oil_Gas,,,,
"Gunmen strike in Nasarawa kill 1, abduct oil magnate",08/09/2017,,Keffi,Nasarawa,1,,,,,Kidnapper,,,,,,,,,,,1,,,1,,,,Gun,,,,,,,,,,,Other,,http://www.premiumtimesng.com/regional/north-central/239963-gunmen-strike-nasarawa-kill-1-abduct-oil-magnate.html,,,8.84679985,7.882410049,"Keffi, Nasarawa, Nigeria",Nigeria,Oil_Gas,,,,
Two soldiers wounded in gun battle with oil thieves in Rivers,09/04/2017,Bille,Demsa,Rivers,0,,State Actor,,Other Armed Actor,,,,,,,0,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.premiumtimesng.com/regional/south-south-regional/242589-two-soldiers-wounded-gun-battle-oil-thieves-rivers.html,http://sunnewsonline.com/rivers-soldiers-alive-following-shootout-with-criminals-says-army-spokesman/,,9.424070358,12.13379002,"Demsa, Rivers, Nigeria",Nigeria,Oil_Gas,,,,
Gunmen abduct five oil workers in Niger Delta,17/01/2018,Ajoki,Warri North,Delta,0,,,,Other Armed Actor,,,,,,,,,,,,5,,,,,,,Gun,,,,,,,,,,,Other,,http://punchng.com/breaking-gunmen-abduct-five-oil-workers-in-niger-delta/,http://sunnewsonline.com/militants-abduct-5-oil-workers-in-niger-delta/,https://www.vanguardngr.com/2018/01/gunmen-abduct-five-oil-workers-delta-states/,6.00289011,5.468669891,"Warri North, Delta, Nigeria",Nigeria,Oil_Gas,,,,
"Two pipeline guards murdered, buried in shallow grave in Lagos",07/11/2018,,Lagos State,Lagos,2,,,,Other Armed Actor,,,,,,,,,,,,,,,2,,,,Gun,,,Other,,,,,,,,Other,,https://www.vanguardngr.com/2018/07/two-pipeline-guards-murdered-buried-in-shallow-grave-in-lagos/,,,6.45471,3.38876009,"Lagos State, Lagos, Nigeria",Nigeria,Oil_Gas,,,,
"Gunmen Abduct Oil Workers, Two Others in Bayelsa",10/04/2018,,Southern Ijaw,Bayelsa,0,,,,,Kidnapper,,,,,,,,,,,4,,,,,,,Gun,,,,,,,,,,,Other,They later were freed,https://www.thisdaylive.com/index.php/2018/10/10/gunmen-abduct-oil-workers-two-others-in-bayelsa/,https://www.premiumtimesng.com/news/top-news/289527-four-abducted-oil-workers-in-bayelsa-regain-freedom.html,https://guardian.ng/news/gunmen-abduct-agip-nosdra-workers-in-bayelsa/,4.9709902,6.105569839,"Southern Ijaw, Bayelsa, Nigeria",Nigeria,Oil_Gas,,,,
"7 killed, houses razed in fight over oil-rich Benue land",12/02/2018,,Apa,Benue,7,,,Sectarian Actor,,,,,,,,,7,,,,,,,,,,,Gun,,,Other,,,,,,,,Other,,https://www.vanguardngr.com/2018/12/7-killed-houses-razed-in-fight-over-oil-rich-benue-land/,,,7.6531701,7.885469913,"Apa, Benue, Nigeria",Nigeria,Oil_Gas,,,,
Herdsmen kidnap oil firm worker in Delta,12/02/2018,Okpai,Ndokwa East,Delta,0,,,Sectarian Actor,,,,,,,,,,,,,1,,,,,,,Gun,,,,,,,,,,,Other,,https://www.vanguardngr.com/2018/12/herdsmen-kidnap-oil-firm-worker-in-delta/,https://sunnewsonline.com/suspected-herdsmen-kidnap-oil-worker-in-delta/,,5.6349602,6.402019978,"Ndokwa East, Delta, Nigeria",Nigeria,Oil_Gas,,,,
"Black Wednesday in Lagos as pipeline explosion razes over 50 vehicles, 100 houses",19/12/2018,,Lagos State,Lagos,0,,,,Other Armed Actor,,,,,,,,,,,,,,,0,,,,,,,Other,,,,,,,,Other,Pipeline vandals triggered the explosion; casualty count unknown,https://guardian.ng/news/black-wednesday-in-lagos-as-pipeline-explosion-razes-over-50-vehicles-100-houses/,https://www.premiumtimesng.com/news/headlines/301843-just-in-cars-houses-burnt-as-explosion-rocks-abule-egba-lagos.html,https://www.thisdaylive.com/index.php/2018/12/19/vehicles-houses-razed-as-vandals-cause-pipeline-explosion-in-abule-egba/,6.45471,3.38876009,"Lagos State, Lagos, Nigeria",Nigeria,Oil_Gas,,,,
Two feared dead in confrontation over Rivers oil spills,20/04/2019,Kegbara-Dere ,Gokana,Rivers,2,,State Actor,,,,,,,,,,,,,,,,,2,,,,Gun,,,,,,,,,,,Other,,https://www.evernote.com/l/AYIO72Ql-4dOCL0Vy0TbwVjt1r-criQg62I,https://www.evernote.com/l/AYKQdLDLy3hAVLINw_IOLLLr3eA9RVk2CLg,https://www.evernote.com/l/AYIY0l9A_m1BLZvJk-r6E8T7NhYjJpLHK0U,4.651917,7.288753033,"Gokana, Rivers, Nigeria",Nigeria,Oil_Gas,,,,
Nigerian pirates abduct six sailors from oil tanker,19/04/2019,,Bonny,Rivers,0,,,,,Kidnapper,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,Other,,https://www.evernote.com/l/AYL-VzJgAWRBJpyQzwPo51nTCHN0h9oytb8,https://www.evernote.com/l/AYJs8c3T8EJK3ouKmkW5L90boPsEA1fwxdM,https://www.evernote.com/l/AYKELlVSFKxP3r4PgDaW5BA23mjPaIrRuU4,4.4356732,7.175868034,"Bonny, Rivers, Nigeria",Nigeria,Oil_Gas,,,,
"Gunmen kidnap Canadian, Scottish oil workers from Nigerian oil rig",27/04/2019,Ogbele,Ahoada East,Rivers,0,,,,,Kidnapper,,,,,,,,,,,3,,,,,,,Gun,,,,,,,,,,,Other,,https://www.evernote.com/l/AYLhoOr8pF5KTI_5VLmGNSAqjSZuhjQry7A,https://www.evernote.com/l/AYL1rIRPvEZKFbmzL5NmOlBnU91oAl9M6CA,https://www.evernote.com/l/AYJAb-RImVZBv4eNyUv4lUI9rNTdLfYWQPU,5.0840602,6.649330139,"Ahoada East, Rivers, Nigeria",Nigeria,Oil_Gas,,,,
Gunmen kidnap five oil workers in Rivers,13/05/2019,Belemaoil,Akukutor,Rivers,0,,,,,Kidnapper,,,,,,,,,,,5,,,,,,,Gun,,,,,,,,,,,Other,,https://www.evernote.com/l/AYImykBsqEdBzq6-p0Ehul5AfLJtnUn0rTI,https://www.evernote.com/l/AYIPDkXC8a1F4Is6fkXc6oFZhP-O7u4ATqU,https://www.evernote.com/l/AYLfDGd8k5ZGbqh99pUROr0lMUFwprnrRFk,4.8389101,6.912553787,"Akukutor, Rivers, Nigeria",Nigeria,Oil_Gas,,,,
